day,hour,humidity,temp
11,07:00,47,20.2
11,08:00,47,21.2
11,09:00,47,22.2
11,10:00,43,23.9
11,11:00,39,25.5
11,12:00,35,27.2
11,13:00,31,29.2
11,14:00,27,31.2
11,15:00,23,33.2
11,16:00,20,31.9
11,17:00,18,30.5
11,18:00,15,29.2
11,19:00,16,27.5
11,20:00,18,25.9
11,21:00,19,24.2
11,22:00,22,25.2
11,23:00,22,25.2
12,00:00,28,27.2
12,01:00,31,25.9
12,02:00,35,24.5
12,03:00,38,23.2
12,04:00,42,21.9
12,05:00,46,20.5
12,06:00,50,19.2
12,07:00,49,20.2
12,08:00,49,21.2
12,09:00,48,22.2
12,10:00,42,24.2
12,11:00,37,26.2
12,12:00,31,28.2
12,13:00,28,29.9
12,14:00,24,31.5
12,15:00,21,33.2
12,16:00,21,34.6
12,17:00,20,36.0
12,18:00,20,37.4
12,19:00,20,36.1
12,20:00,20,36.1
12,21:00,20,36.1
12,22:00,20,36.1
12,23:00,20,36.1
13,00:00,24,29.4
13,01:00,29,28.5
13,02:00,29,28.5
13,03:00,29,28.5
13,04:00,29,28.5
13,05:00,35,27.6
13,06:00,58,23.9
13,07:00,53,25.6
13,08:00,53,25.6
13,09:00,53,25.6
13,10:00,53,25.6
13,11:00,48,27.4
13,12:00,30,34.3
13,13:00,28,34.7
13,14:00,28,34.7
13,15:00,28,34.7
13,16:00,28,34.7
13,17:00,25,35.0
13,18:00,17,36.5
13,19:00,23,34.5
13,20:00,23,34.5
13,21:00,23,34.5
13,22:00,23,34.5
13,23:00,23,34.5
14,00:00,51,24.7
14,01:00,53,24.4
14,02:00,53,24.4
14,03:00,53,24.4
14,04:00,53,24.4
14,05:00,55,24.0
14,06:00,63,22.7
14,07:00,57,24.5
14,08:00,57,24.5
14,09:00,57,24.5
14,10:00,57,24.5
14,11:00,50,26.4
14,12:00,26,33.7
14,13:00,24,34.4
14,14:00,24,34.4
14,15:00,24,34.4
14,16:00,24,34.4
14,17:00,22,35.2
14,18:00,13,38.1
14,19:00,19,35.9
14,20:00,19,35.9
14,21:00,19,35.9
14,22:00,19,35.9
14,23:00,19,35.9
15,00:00,29,26.2
15,01:00,33,24.9
15,02:00,38,23.5
15,03:00,42,22.2
15,04:00,48,20.9
15,05:00,53,19.5
15,06:00,59,18.2
15,07:00,57,18.9
15,08:00,55,19.5
15,09:00,53,20.2
15,10:00,47,22.2
15,11:00,40,24.2
15,12:00,34,26.2
15,13:00,30,27.9
15,14:00,26,29.5
15,15:00,22,31.2
15,16:00,20,30.2
15,17:00,18,29.2
15,18:00,16,28.2
15,19:00,17,26.5
15,20:00,18,24.9
15,21:00,19,23.2
15,22:00,22,24.2
15,23:00,22,24.2
16,00:00,29,26.2
16,01:00,32,24.9
16,02:00,34,23.5
16,03:00,37,22.2
16,04:00,40,21.2
16,05:00,44,20.2
16,06:00,47,19.2
16,07:00,47,20.2
16,08:00,47,21.2
16,09:00,47,22.2
16,10:00,43,23.9
16,11:00,39,25.5
16,12:00,35,27.2
16,13:00,31,29.2
16,14:00,27,31.2
16,15:00,23,33.2
16,16:00,20,31.9
16,17:00,18,30.5
16,18:00,15,29.2
16,19:00,16,27.5
16,20:00,18,25.9
16,21:00,19,24.2
16,22:00,22,25.2
16,23:00,22,25.2
17,00:00,28,27.2
17,01:00,31,25.9
17,02:00,35,24.5
17,03:00,38,23.2
17,04:00,42,21.9
17,05:00,46,20.5
17,06:00,50,19.2
17,07:00,49,20.2
17,08:00,49,21.2
17,09:00,48,22.2
17,10:00,42,24.2
17,11:00,37,26.2
17,12:00,31,28.2
17,13:00,28,29.9
17,14:00,24,31.5
17,15:00,21,33.2
17,16:00,21,34.6
17,17:00,20,36.0
17,18:00,20,37.4
17,19:00,20,36.1
17,20:00,20,36.1
17,21:00,20,36.1
17,22:00,20,36.1
17,23:00,20,36.1
18,00:00,24,29.4
18,01:00,29,28.5
18,02:00,29,28.5
18,03:00,29,28.5
18,04:00,29,28.5
18,05:00,35,27.6
18,06:00,58,23.9
18,07:00,53,25.6
18,08:00,53,25.6
18,09:00,53,25.6
18,10:00,53,25.6
18,11:00,48,27.4
18,12:00,30,34.3
18,13:00,28,34.7
18,14:00,28,34.7
18,15:00,28,34.7
18,16:00,28,34.7
18,17:00,25,35.0
18,18:00,17,36.5
18,19:00,23,34.5
18,20:00,23,34.5
18,21:00,23,34.5
18,22:00,23,34.5
18,23:00,23,34.5
19,00:00,51,24.7
19,01:00,53,24.4
19,02:00,53,24.4
19,03:00,53,24.4
19,04:00,53,24.4
19,05:00,55,24.0
19,06:00,63,22.7
19,07:00,57,24.5
19,08:00,57,24.5
19,09:00,57,24.5
19,10:00,57,24.5
19,11:00,50,26.4
19,12:00,26,33.7
19,13:00,24,34.4
19,14:00,24,34.4
19,15:00,24,34.4
19,16:00,24,34.4
19,17:00,22,35.2
19,18:00,13,38.1
19,19:00,19,35.9
19,20:00,19,35.9
19,21:00,19,35.9
19,22:00,19,35.9
19,23:00,19,35.9
20,00:00,29,26.2
20,01:00,33,24.9
20,02:00,38,23.5
20,03:00,42,22.2
20,04:00,48,20.9
20,05:00,53,19.5
20,06:00,59,18.2
20,07:00,57,18.9
20,08:00,55,19.5
20,09:00,53,20.2
20,10:00,47,22.2
20,11:00,40,24.2
20,12:00,34,26.2
20,13:00,30,27.9
20,14:00,26,29.5
20,15:00,22,31.2
20,16:00,20,30.2
20,17:00,18,29.2
20,18:00,16,28.2
20,19:00,17,26.5
20,20:00,18,24.9
20,21:00,19,23.2
20,22:00,22,24.2
20,23:00,22,24.2
21,00:00,29,26.2
21,01:00,32,24.9
21,02:00,34,23.5
21,03:00,37,22.2
21,04:00,40,21.2
21,05:00,44,20.2
21,06:00,47,19.2
21,07:00,47,20.2
21,08:00,47,21.2
21,09:00,47,22.2
21,10:00,43,23.9
21,11:00,39,25.5
21,12:00,35,27.2
21,13:00,31,29.2
21,14:00,27,31.2
21,15:00,23,33.2
21,16:00,20,31.9
21,17:00,18,30.5
21,18:00,15,29.2
21,19:00,16,27.5
21,20:00,18,25.9
21,21:00,19,24.2
21,22:00,22,25.2
21,23:00,22,25.2
22,00:00,28,27.2
22,01:00,31,25.9
22,02:00,35,24.5
22,03:00,38,23.2
22,04:00,42,21.9
22,05:00,46,20.5
22,06:00,50,19.2
22,07:00,49,20.2
22,08:00,49,21.2
22,09:00,48,22.2
22,10:00,42,24.2
22,11:00,37,26.2
22,12:00,31,28.2
22,13:00,28,29.9
22,14:00,24,31.5
22,15:00,21,33.2
22,16:00,21,34.6
22,17:00,20,36.0
22,18:00,20,37.4
22,19:00,20,36.1
22,20:00,20,36.1
22,21:00,20,36.1
22,22:00,20,36.1
22,23:00,20,36.1
23,00:00,24,29.4
23,01:00,29,28.5
23,02:00,29,28.5
23,03:00,29,28.5
23,04:00,29,28.5
23,05:00,35,27.6
23,06:00,58,23.9
23,07:00,53,25.6
23,08:00,53,25.6
23,09:00,53,25.6
23,10:00,53,25.6
23,11:00,48,27.4
23,12:00,30,34.3
23,13:00,28,34.7
23,14:00,28,34.7
23,15:00,28,34.7
23,16:00,28,34.7
23,17:00,25,35.0
23,18:00,17,36.5
23,19:00,23,34.5
23,20:00,23,34.5
23,21:00,23,34.5
23,22:00,23,34.5
23,23:00,23,34.5
24,00:00,51,24.7
24,01:00,53,24.4
24,02:00,53,24.4
24,03:00,53,24.4
24,04:00,53,24.4
24,05:00,55,24.0
24,06:00,63,22.7
24,07:00,57,24.5
24,08:00,57,24.5
24,09:00,57,24.5
24,10:00,57,24.5
24,11:00,50,26.4
24,12:00,26,33.7
24,13:00,24,34.4
24,14:00,24,34.4
24,15:00,24,34.4
24,16:00,24,34.4
24,17:00,22,35.2
24,18:00,13,38.1
24,19:00,19,35.9
24,20:00,19,35.9
24,21:00,19,35.9
24,22:00,19,35.9
24,23:00,19,35.9
25,00:00,29,26.2
25,01:00,33,24.9
25,02:00,38,23.5
25,03:00,42,22.2
25,04:00,48,20.9
25,05:00,53,19.5
25,06:00,59,18.2
25,07:00,57,18.9
25,08:00,55,19.5
25,09:00,53,20.2
25,10:00,47,22.2
25,11:00,40,24.2
25,12:00,34,26.2
25,13:00,30,27.9
25,14:00,26,29.5
25,15:00,22,31.2
25,16:00,20,30.2
25,17:00,18,29.2
25,18:00,16,28.2
25,19:00,17,26.5
25,20:00,18,24.9
25,21:00,19,23.2
25,22:00,22,24.2
25,23:00,22,24.2
26,00:00,29,26.2
26,01:00,32,24.9
26,02:00,34,23.5
26,03:00,37,22.2
26,04:00,40,21.2
26,05:00,44,20.2
26,06:00,47,19.2
26,07:00,47,20.2
26,08:00,47,21.2
26,09:00,47,22.2
26,10:00,43,23.9
26,11:00,39,25.5
26,12:00,35,27.2
26,13:00,31,29.2
26,14:00,27,31.2
26,15:00,23,33.2
26,16:00,20,31.9
26,17:00,18,30.5
26,18:00,15,29.2
26,19:00,16,27.5
26,20:00,18,25.9
26,21:00,19,24.2
26,22:00,22,25.2
26,23:00,22,25.2
27,00:00,28,27.2
27,01:00,31,25.9
27,02:00,35,24.5
27,03:00,38,23.2
27,04:00,42,21.9
27,05:00,46,20.5
27,06:00,50,19.2
27,07:00,49,20.2
27,08:00,49,21.2
27,09:00,48,22.2
27,10:00,42,24.2
27,11:00,37,26.2
27,12:00,31,28.2
27,13:00,28,29.9
27,14:00,24,31.5
27,15:00,21,33.2
27,16:00,21,34.6
27,17:00,20,36.0
27,18:00,20,37.4
27,19:00,20,36.1
27,20:00,20,36.1
27,21:00,20,36.1
27,22:00,20,36.1
27,23:00,20,36.1
28,00:00,24,29.4
28,01:00,29,28.5
28,02:00,29,28.5
28,03:00,29,28.5
28,04:00,29,28.5
28,05:00,35,27.6
28,06:00,58,23.9
28,07:00,53,25.6
28,08:00,53,25.6
28,09:00,53,25.6
28,10:00,53,25.6
28,11:00,48,27.4
28,12:00,30,34.3
28,13:00,28,34.7
28,14:00,28,34.7
28,15:00,28,34.7
28,16:00,28,34.7
28,17:00,25,35.0
28,18:00,17,36.5
28,19:00,23,34.5
28,20:00,23,34.5
28,21:00,23,34.5
28,22:00,23,34.5
28,23:00,23,34.5
29,00:00,51,24.7
29,01:00,53,24.4
29,02:00,53,24.4
29,03:00,53,24.4
29,04:00,53,24.4
29,05:00,55,24.0
29,06:00,63,22.7
29,07:00,57,24.5
29,08:00,57,24.5
29,09:00,57,24.5
29,10:00,57,24.5
29,11:00,50,26.4
29,12:00,26,33.7
29,13:00,24,34.4
29,14:00,24,34.4
29,15:00,24,34.4
29,16:00,24,34.4
29,17:00,22,35.2
29,18:00,13,38.1
29,19:00,19,35.9
29,20:00,19,35.9
29,21:00,19,35.9
29,22:00,19,35.9
29,23:00,19,35.9
